id,name,street,city,state,zip,phone,hours,website,source_name,source_url,extracted_from
1,PGCDSS North County Food Pantry,6505 Bellcrest Road,Hyattsville,MD,20782,,Mon-Fri 8:00 AM - 4:30 PM,,PG County Government,https://www.princegeorgescountymd.gov/departments-offices/food-pantry-services,https://www.princegeorgescountymd.gov/departments-offices/county-executive/federal-government-shutdown/food-and-basic-needs-clothing-medical-and-emergency
2,PGCDSS Central County Food Pantry,425 Brightseat Road,Landover,MD,20785,,Mon-Fri 8:00 AM - 4:30 PM,,PG County Government,https://www.princegeorgescountymd.gov/departments-offices/food-pantry-services,https://www.princegeorgescountymd.gov/departments-offices/county-executive/federal-government-shutdown/food-and-basic-needs-clothing-medical-and-emergency
3,PGCDSS South County Food Pantry,4235 28th Avenue,Temple Hills,MD,20748,,Mon-Fri 8:00 AM - 4:30 PM,,PG County Government,https://www.princegeorgescountymd.gov/departments-offices/food-pantry-services,https://www.princegeorgescountymd.gov/departments-offices/county-executive/federal-government-shutdown/food-and-basic-needs-clothing-medical-and-emergency
4,AfriThrive Mobile Food Pantry,5120 Whitfield Chapel Rd,Lanham,MD,20706,,1st and 3rd Sunday 12:00 PM - 2:00 PM,https://www.afrithrive.org,PG County Government,https://www.princegeorgescountymd.gov/departments-offices/food-pantry-services,https://www.princegeorgescountymd.gov/departments-offices/county-executive/federal-government-shutdown/food-and-basic-needs-clothing-medical-and-emergency
5,Buddhist Tzu Chi Foundation Food Distribution,Rosa L. Parks Elementary School Hyattsville,Hyattsville,MD,20783,,4th Saturday of each month 10:00 AM,https://tzuchi.us/dc,PG County Government,https://www.princegeorgescountymd.gov/departments-offices/food-pantry-services,https://www.princegeorgescountymd.gov/departments-offices/county-executive/federal-government-shutdown/food-and-basic-needs-clothing-medical-and-emergency
6,Community Health Foundation Food Distribution,,Prince George's County,MD,,(301) 458-9808,Tue & Thu 10:00 AM - 2:00 PM; 2nd Saturday,https://chfoundationconnect.org,PG County Government,https://www.princegeorgescountymd.gov/departments-offices/food-pantry-services,https://www.princegeorgescountymd.gov/departments-offices/county-executive/federal-government-shutdown/food-and-basic-needs-clothing-medical-and-emergency
7,The Fresh Food Market,11700 Beltsville Drive,Beltsville,MD,20705,,Tue Thu Fri Sat 8:00 AM - 3:00 PM (by appointment),https://kgcdc.org/kingdom-cares-fresh-food-market,PG County Government,https://www.princegeorgescountymd.gov/departments-offices/food-pantry-services,https://www.princegeorgescountymd.gov/departments-offices/county-executive/federal-government-shutdown/food-and-basic-needs-clothing-medical-and-emergency
8,UCAP Food Pantry,1400 Doewood Lane,Capitol Heights,MD,20743,(301) 322-5700,Tue & Wed 10:00 AM - 2:30 PM (by appointment),https://www.ucappgc.org,PG County Government / sengov.com,https://www.princegeorgescountymd.gov/departments-offices/food-pantry-services,https://www.princegeorgescountymd.gov/departments-offices/county-executive/federal-government-shutdown/food-and-basic-needs-clothing-medical-and-emergency
9,Gethsemane United Methodist Church Food Pantry,910 Addison Road South,Capitol Heights,MD,20743,(301) 336-1219,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
10,"Community Outreach and Development Corp - Labor of Love Center",4719 Marlboro Pike,Capitol Heights,MD,20743,(301) 735-0121,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
11,Prince George's County Salvation Army,4825 Edmonston Road,Hyattsville,MD,20781,(301) 277-6103,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
12,Oxon Hill Church of Christ Food Pantry,4201 Brinkley Road,Temple Hills,MD,20748,(301) 894-5412,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
13,Southern Friendship Missionary Baptist Church,4444 Branch Avenue,Temple Hills,MD,20748,(301) 423-6142,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
14,Beltway Church of Christ Food Pantry,6000 Davis Boulevard,Camp Springs,MD,20746,(301) 423-2320,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
15,FISH of Greater Bowie,13710 Annapolis Rd,Bowie,MD,20720,(301) 262-8479,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
16,Largo Community Church Food Pantry,1701 Enterprise Road,Mitchellville,MD,20721,(301) 249-2255,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
17,City of Greenbelt Food Pantry,25 Crescent Rd,Greenbelt,MD,20770,(301) 345-6660,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
18,St. Margaret of Scotland Catholic Church Food Bank,408 Addison Road South,Capitol Heights,MD,20743,(301) 336-3344,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
19,Beltsville Adventist Community Center,4200 Ammendale Rd,Beltsville,MD,20705,(301) 937-8119,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
20,No Limits Outreach Ministries,7721 Barlowe Road,Landover,MD,20785,(202) 341-5159,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
21,Cornerstone Peaceful Bible Baptist Church,9010 Frank Tippett Road,Upper Marlboro,MD,20772,(240) 346-4169,2nd Wed 4:30 PM - 6:30 PM; 2nd Sat 9:30 AM - 3:00 PM,,sengov.com / foodpantries.org,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
22,Crossover Church Food Pantry,5340 Baltimore Avenue,Hyattsville,MD,20781,(301) 927-5620,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
23,Lutheran Mission Society of Maryland,3799 East West Highway,Hyattsville,MD,20782,(301) 277-2302,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
24,SEED Food Distribution,6201 Riverdale Road Suite 200,Riverdale,MD,20737,(301) 458-9808,Wed & Fri 12:00 PM - 3:00 PM,,sengov.com / foodpantries.org,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
25,Jericho Baptist Church Food Pantry,8501 Jericho City Drive,Landover,MD,20785,(301) 333-0500,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
26,College Park Community Food Bank,9704 Rhode Island Ave,College Park,MD,20740,,Saturday 9:30 AM - 11:00 AM,https://www.collegeparkcommunityfoodbank.org,The Diamondback (UMD),https://dbknews.com/2025/11/04/food-banks-prince-georges-county/,https://dbknews.com/2025/11/04/food-banks-prince-georges-county/
27,Mission of Love Charities Food Pantry,6180 Old Central Ave,Capitol Heights,MD,20743,,Mon-Fri,,The Diamondback (UMD) / 211 Maryland,https://dbknews.com/2025/11/04/food-banks-prince-georges-county/,https://dbknews.com/2025/11/04/food-banks-prince-georges-county/
28,Bowie Interfaith Pantry and Emergency Aid Fund,3120 Belair Drive,Bowie,MD,20715,(301) 262-6765,Mon Wed Fri 9:00 AM - 11:00 AM,,sengov.com / foodpantries.org,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://www.foodpantries.org/co/md-prince_georges
29,Laurel Advocacy & Referral Services (LARS),,Laurel,MD,20707,,,,foodpantries.org,https://www.foodpantries.org/co/md-prince_georges,https://www.foodpantries.org/co/md-prince_georges
30,Community Support Systems - Brandywine,13500 Baden-Westwood Rd,Brandywine,MD,20613,,Wed & Fri 9:30 AM - 11:30 AM,,foodpantries.org,https://www.foodpantries.org/co/md-prince_georges,https://www.foodpantries.org/co/md-prince_georges
31,Impact One Church Food Pantry,7230 Central Avenue,Capitol Heights,MD,20743,,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
32,Gospel Assembly Church Food Pantry,8740-12 Cherry Lane,Laurel,MD,20707,(301) 605-3756,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
33,Greater Refuge Ministries Food Pantry,9512 Piscataway Road,Clinton,MD,20735,(866) 515-1317,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
34,Bethel House,6810 Floral Park Road,Brandywine,MD,20613,(301) 372-1700,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
35,Divine Grace Mission,4208 Glenn Dale Rd,Bowie,MD,20720,(240) 460-0842,,,sengov.com Free Food Pantries PG County,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county,https://help.sengov.com/posts/free-food-pantries-prince-george-s-county
